Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
400659,Kothari Petrochemicals Ltd - <b>INE720A01015</b>,532096,KOTHARIPET,/Stocks?StockId=400659&Exchange=1,,nse,Kothari Petroche
479928,Kothari Products Ltd. - <b>INE823A01017</b>,530299,KOTHARIPRO,/Stocks?StockId=479928&Exchange=0,,bse,Kothari Products
1003132,KPIT Technologies Ltd - <b>INE04I401011</b>,542651,KPITTECH,/Stocks?StockId=1003132&Exchange=0,,bse,KPIT Technologi.
549544,K P R Mill Ltd - <b>INE930H01023</b>,532889,KPRMILL,/Stocks?StockId=549544&Exchange=0,,bse,K P R Mill Ltd
685316,KRBL Ltd. - <b>INE001B01026</b>,530813,KRBL,/Stocks?StockId=685316&Exchange=0,,bse,KRBL
142337,Krebs Biochemicals & Industries Ltd - <b>INE268B01013</b>,524518,KREBSBIO,/Stocks?StockId=142337&Exchange=0,,bse,Krebs Biochem
521532,Kridhan Infra Ltd - <b>INE524L01026</b>,533482,KRIDHANINF,/Stocks?StockId=521532&Exchange=0,,bse,Kridhan Infra
1002712,Krishana Phoschem Ltd - <b>INE506W01012</b>,538405,KRISHANA,/Stocks?StockId=1002712&Exchange=1,,nse,Krishana Phosch.
397159,KSB Ltd - <b>INE999A01015</b>,500249,KSB,/Stocks?StockId=397159&Exchange=0,,bse,KSB
695791,Kaveri Seed Company Ltd - <b>INE455I01029</b>,532899,KSCL,/Stocks?StockId=695791&Exchange=0,,bse,Kaveri Seed Co.
705833,Kalyani Steels Ltd - <b>INE907A01026</b>,500235,KSL,/Stocks?StockId=705833&Exchange=0,,bse,Kalyani Steels
412939,Karnataka Bank Ltd - <b>INE614B01018</b>,532652,KTKBANK,/Stocks?StockId=412939&Exchange=0,,bse,Karnataka Bank
178029,Kuantum Papers Ltd - <b>INE529I01021</b>,532937,KUANTUM,/Stocks?StockId=178029&Exchange=0,,bse,Kuantum Papers
675291,L&T Finance Holdings Ltd - <b>INE498L01015</b>,533519,L&TFH,/Stocks?StockId=675291&Exchange=0,,bse,L&T Fin.Holdings
356564,Lakshmi Precision Screws Ltd - <b>INE651C01018</b>,506079,LAKPRE,/Stocks?StockId=356564&Exchange=0,,bse,Lak. Prec. Screw
1000163,Dr Lal Pathlabs Ltd - <b>INE600L01024</b>,539524,LALPATHLAB,/Stocks?StockId=1000163&Exchange=0,,bse,Dr Lal Pathlabs
239646,Lambodhara Textiles Ltd - <b>INE112F01022</b>,590075,LAMBODHARA,/Stocks?StockId=239646&Exchange=0,,bse,Lambodhara Text.
828262,La Opala RG Ltd - <b>INE059D01020</b>,526947,LAOPALA,/Stocks?StockId=828262&Exchange=0,,bse,La Opala RG
1002834,Lasa Supergenerics Ltd - <b>INE670X01014</b>,540702,LASA,/Stocks?StockId=1002834&Exchange=0,,bse,Lasa Supergeneri
1002699,Laurus Labs Ltd - <b>INE947Q01028</b>,540222,LAURUSLABS,/Stocks?StockId=1002699&Exchange=0,,bse,Laurus Labs
723443,Lakshmi Machine Works Ltd - <b>INE269B01029</b>,500252,LAXMIMACH,/Stocks?StockId=723443&Exchange=0,,bse,Lak. Mach. Works
177718,LCC Infotech Ltd. (Inactive) - <b>INE938A01021</b>,532019,LCCINFOTEC,/Stocks?StockId=177718&Exchange=0,,bse,LCC Infotech
1002964,Lemon Tree Hotels Ltd - <b>INE970X01018</b>,541233,LEMONTREE,/Stocks?StockId=1002964&Exchange=0,,bse,Lemon Tree Hotel
603287,Lakshmi Finance & Industrial Corporation Ltd - <b>INE850E01012</b>,532562,LFIC,/Stocks?StockId=603287&Exchange=1,,nse,Lak. Fin. & Indl
921237,L G Balakrishnan & Bros Ltd - <b>INE337A01034</b>,500250,LGBBROSLTD,/Stocks?StockId=921237&Exchange=0,,bse,L G Balakrishnan
907014,LGB Forge Ltd - <b>INE201J01017</b>,533007,LGBFORGE,/Stocks?StockId=907014&Exchange=0,,bse,LGB Forge
1002700,Libas Consumer Products Ltd - <b>INE908V01012</b>,538391,LIBAS,/Stocks?StockId=1002700&Exchange=1,,nse,Libas Consumer
738290,Liberty Shoes Ltd. - <b>INE557B01019</b>,526596,LIBERTSHOE,/Stocks?StockId=738290&Exchange=0,,bse,Liberty Shoes
141783,LIC Housing Finance Ltd - <b>INE115A01026</b>,500253,LICHSGFIN,/Stocks?StockId=141783&Exchange=0,,bse,LIC Housing Fin.
1003432,Likhitha Infrastructure Ltd - <b>INE060901019</b>,543240,LIKHITHA,/Stocks?StockId=1003432&Exchange=0,,bse,Likhitha Infra.
294056,Lincoln Pharmaceuticals Ltd - <b>INE405C01035</b>,531633,LINCOLN,/Stocks?StockId=294056&Exchange=0,,bse,Lincoln Pharma.
801304,Linc Pen & Plastics Ltd - <b>INE802B01019</b>,531241,LINCPEN,/Stocks?StockId=801304&Exchange=0,,bse,Linc Pen &Plast.
280557,Linde India Ltd. - <b>INE473A01011</b>,523457,LINDEINDIA,/Stocks?StockId=280557&Exchange=0,,bse,Linde India
1003490,Macrotech Developers Ltd - <b>INE670K01029</b>,543287,LODHA,/Stocks?StockId=1003490&Exchange=0,,bse,Macrotech Devel.
643534,Lokesh Machines Ltd - <b>INE397H01017</b>,532740,LOKESHMACH,/Stocks?StockId=643534&Exchange=0,,bse,Lokesh Mach.
959118,Lotus Eye Hospital & Institute Ltd - <b>INE947I01017</b>,532998,LOTUSEYE,/Stocks?StockId=959118&Exchange=0,,bse,Lotus Eye Hospit
847842,Lovable Lingerie Ltd - <b>INE597L01014</b>,533343,LOVABLE,/Stocks?StockId=847842&Exchange=0,,bse,Lovable Lingerie
758493,Landmark Property Development Company Ltd - <b>INE197J01017</b>,533012,LPDC,/Stocks?StockId=758493&Exchange=0,,bse,Landmark Prop.
1002640,Lloyds Steels Industries Ltd - <b>INE093R01011</b>,539992,LSIL,/Stocks?StockId=1002640&Exchange=0,,bse,Lloyds Steels
837957,Larsen & Toubro Ltd. - <b>INE018A01030</b>,500510,LT,/Stocks?StockId=837957&Exchange=0,,bse,Larsen & Toubro
1000372,Larsen & Toubro Infotech Ltd. - <b>INE214T01019</b>,540005,LTI,/Stocks?StockId=1000372&Exchange=0,,bse,L&T Infotech
1002656,L&T Technology Services Ltd - <b>INE010V01017</b>,540115,LTTS,/Stocks?StockId=1002656&Exchange=0,,bse,L&T Technology
521748,Lumax Industries Ltd - <b>INE162B01018</b>,517206,LUMAXIND,/Stocks?StockId=521748&Exchange=0,,bse,Lumax Industries
485050,Lumax Auto Technologies Ltd. - <b>INE872H01027</b>,532796,LUMAXTECH,/Stocks?StockId=485050&Exchange=0,,bse,Lumax Auto Tech
